sample_code,soil_id,soil_label,p_level_code,p_level_percent,p_dose_mg_dm3,replicate,P_Mehlich1_mg_dm3,P_Mehlich3_mg_dm3,P_resin_mg_dm3,P_Olsen_mg_dm3,dry_matter_cut1_g,dry_matter_cut2_g,dry_matter_total_g,plant_P_cut1_g_kg,plant_P_cut2_g_kg,P_uptake_cut1_mg_pot,P_uptake_cut2_mg_pot,P_uptake_total_mg_pot
101,1,RY,0,0,0.0,1,48.712,13.8,36.51,28.168,2.369,2.119,4.488,1.226,0.943,2.904,1.998,4.902
102,1,RY,0,0,0.0,2,34.244,19.409,39.347,25.889,5.075,3.044,8.119,1.294,0.845,6.565,2.573,9.138
103,1,RY,0,0,0.0,3,51.594,16.234,39.326,14.301,4.238,3.429,7.667,1.445,0.972,6.122,3.334,9.456
104,1,RY,0,0,0.0,4,15.725,34.436,31.711,20.116,5.222,3.521,8.743,1.628,0.927,8.502,3.264,11.766
111,1,RY,1,10,37.0,1,51.262,47.319,50.849,42.757,6.54,5.43,11.97,1.654,1.612,10.815,8.752,19.568
112,1,RY,1,10,37.0,2,107.759,88.027,22.656,30.201,7.292,5.093,12.385,1.993,1.535,14.531,7.819,22.35
113,1,RY,1,10,37.0,3,104.864,73.76,43.658,35.789,5.418,4.134,9.552,1.724,1.38,9.343,5.704,15.048
114,1,RY,1,10,37.0,4,61.931,116.581,18.249,40.507,5.182,3.964,9.146,1.851,1.6,9.593,6.343,15.936
121,1,RY,2,20,74.0,1,145.63,122.265,46.923,32.429,9.503,7.1,16.603,1.991,1.633,18.917,11.592,30.509
122,1,RY,2,20,74.0,2,72.25,113.38,57.728,48.569,8.379,5.911,14.29,2.371,1.781,19.865,10.527,30.392
123,1,RY,2,20,74.0,3,134.18,78.607,46.608,33.558,7.737,5.169,12.906,2.152,1.839,16.649,9.506,26.155
124,1,RY,2,20,74.0,4,135.259,111.861,69.233,37.523,8.247,6.05,14.297,1.908,1.576,15.737,9.536,25.273
